angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,1e-06,0.0,2.5,0.003668998327033267,0.0035498115861171617,0.0035498115861171617,1.0335755118334249,0.007473604674674676
15,1e-06,0.0,2.75,0.0022445721656968415,0.0021532563005907703,0.0021532563005907703,1.0424082656026679,0.004651285416161813
15,1e-06,0.0,3.0,0.0013732214461486824,0.0013062027019352833,0.0013062027019352833,1.0513080734820892,0.0028684512845081806
15,1e-06,0.0,3.25,0.0008401977645186591,0.0007924387239308103,0.0007924387239308103,1.0602684335653678,0.001761718063878123
15,1e-06,0.0,3.5,0.0005141353373100405,0.0004808251194151705,0.0004808251194151705,1.0692771998588286,0.0010798767050898329
15,1e-06,0.0,3.75,0.00031467515476354507,0.00029182191429286787,0.00029182191429286787,1.0783122834556629,0.0006612859732062383
15,1e-06,0.0,4.0,0.00019266004457091647,0.00017718567560223543,0.00017718567560223543,1.0873341985241487,0.00040475124644882946
15,1e-06,0.0,4.25,0.00011801960641518406,0.00010765528212223121,0.00010765528212223121,1.096273253746948,0.0002476702578222218
15,1e-06,0.0,4.5,7.235919034598834e-05,6.54829666947253e-05,6.54829666947253e-05,1.1050078210921517,0.00015153018856981241
15,1e-06,0.0,4.75,4.4426430435227837e-05,3.990416439687084e-05,3.990416439687084e-05,1.1133281728037292,9.270258251659649e-05
15,1e-06,0.0,5.0,2.733803507179993e-05,2.438983656449417e-05,2.438983656449417e-05,1.1208781575682076,5.6710913599553564e-05
15,1e-06,0.0,5.25,1.688336054411519e-05,1.4979921069324672e-05,1.4979921069324672e-05,1.1270660550200302,3.4692179715868746e-05
15,1e-06,0.0,5.5,1.0486673942719612e-05,9.272518816199387e-06,9.272518816199387e-06,1.1309412415965183,2.1222230873491255e-05
15,1e-06,0.0,5.75,6.5723491557246226e-06,5.810804362365937e-06,5.810804362365937e-06,1.1310566912716735,1.2982173203541523e-05
15,1e-06,0.0,6.0,4.1765448889541444e-06,3.711168410945575e-06,3.711168410945575e-06,1.1253989111989653,7.941490548691881e-06
15,1e-06,0.0,6.25,2.709660543737964e-06,2.4376748321742204e-06,2.4376748321742204e-06,1.1115758787734429,4.8579793095738565e-06
15,1e-06,0.0,6.5,1.8110258483940724e-06,1.6652619317022285e-06,1.6652619317022285e-06,1.087532125677577,2.9717258072769844e-06
15,1e-06,0.0,6.75,1.2600116741764143e-06,1.1967698256084026e-06,1.1967698256084026e-06,1.0528437860102808,1.817864418133084e-06
